feature_set,feature,p_value,rank_biserial,abs_rank_biserial,mean_controls,mean_impaired,rank,selected
all_features,GGB1631,,,,0.06519781250000001,0.0379220814479638,245,True
all_features,GGB1632,,,,0.12669412500000002,0.026615882352941177,246,True
all_features,GGB1633,,,,0.0032524999999999997,0.01387371040723982,247,True
all_features,GGB1661,,,,0.0010909375000000001,8.819004524886877e-05,248,True
all_features,GGB1662,,,,0.011467000000000001,0.0012892760180995473,249,True
all_features,GGB1663,,,,0.0023025625,0.001354524886877828,250,True
all_features,GGB1671,,,,0.01581825,0.0,251,True
all_features,GGB1672,,,,0.0,0.0001004524886877828,252,True
all_features,GGB1680,,,,0.1983893125,0.037632081447963796,253,True
all_features,GGB1689,,,,0.003542,0.005055656108597285,254,True
all_features,GGB1690,,,,0.0,4.624434389140271e-05,255,True
all_features,GGB1691,,,,0.000373625,0.0012117194570135745,256,True
all_features,GGB18456,,,,0.0011963125,0.0,257,True
all_features,GGB18827,,,,0.0,0.00844180995475113,258,True
all_features,GGB24132,,,,0.0,0.0005010859728506788,259,True
all_features,GGB25056,,,,0.0007255625,0.0008699547511312216,260,True
all_features,GGB25442,,,,4.3312499999999996e-05,0.0,261,True
all_features,GGB2652,,,,0.000383125,0.0006751583710407239,262,True
all_features,GGB2653,,,,0.012746062499999999,0.014360090497737558,263,True
all_features,GGB2657,,,,0.013146625,0.006437466063348417,264,True
all_features,GGB26634,,,,0.0,0.0003616742081447964,265,True
all_features,GGB267,,,,0.00770325,0.0026172850678733033,266,True
all_features,GGB269,,,,0.0036810625,0.0,267,True
all_features,GGB27106,,,,0.00976375,0.009839230769230769,268,True
all_features,GGB2732,,,,0.0001464375,0.0,269,True
all_features,GGB2734,,,,0.008234374999999999,0.04716665158371041,270,True
all_features,GGB27521,,,,0.0,7.25339366515837e-05,271,True
all_features,GGB27848,,,,0.0,6.036199095022624e-05,272,True
all_features,GGB27885,,,,0.0,0.0004234841628959276,273,True
all_features,GGB27887,,,,0.0,0.001251447963800905,274,True
all_features,GGB27924,,,,0.0,0.001729366515837104,275,True
all_features,GGB27930,,,,0.0,0.0005952488687782806,276,True
all_features,GGB28319,,,,0.0009809999999999999,0.0002894117647058824,277,True
all_features,GGB28369,,,,0.004322875,0.00012574660633484164,278,True
all_features,GGB28474,,,,0.0006856875,0.0003441176470588236,279,True
all_features,GGB2848,,,,0.0048898125,0.002548099547511312,280,True
all_features,GGB28640,,,,0.00535875,0.023752624434389143,281,True
all_features,GGB29535,,,,0.0006786875,0.0006842081447963801,282,True
all_features,GGB2958,,,,0.0037728125,0.005658823529411766,283,True
all_features,GGB2970,,,,0.007834437500000001,0.0040320814479638005,284,True
all_features,GGB2972,,,,0.000271875,0.0,285,True
all_features,GGB2977,,,,0.0006641875000000001,0.002742443438914027,286,True
all_features,GGB2980,,,,0.0100954375,0.03214619909502262,287,True
all_features,GGB2982,,,,0.023889875,0.01300262443438914,288,True
all_features,GGB2983,,,,0.007528875,0.0035863800904977375,289,True
all_features,GGB2987,,,,0.004298250000000001,0.0018983257918552033,290,True
all_features,GGB2996,,,,0.011578625,0.005663665158371041,291,True
all_features,GGB2998,,,,0.012666625,0.011134615384615385,292,True
all_features,GGB2999,,,,0.00041306249999999996,0.006678868778280543,293,True
all_features,GGB3000,,,,0.0078258125,0.007315384615384614,294,True
all_features,GGB3001,,,,0.04272225,0.017856606334841627,295,True
all_features,GGB3002,,,,0.0053728125,0.03394656108597285,296,True
all_features,GGB3003,,,,0.000246,0.0002257918552036199,297,True
all_features,GGB3004,,,,0.00044368749999999996,0.004141674208144796,298,True
all_features,GGB30045,,,,0.0,0.0013472398190045249,299,True
all_features,GGB3005,,,,0.08390925,0.1789854298642534,300,True
all_features,GGB3032,,,,0.016070499999999998,0.020277556561085975,301,True
all_features,GGB3033,,,,0.008924,0.00915235294117647,302,True
all_features,GGB3034,,,,0.00273825,0.0011157918552036198,303,True
all_features,GGB3051,,,,0.000488375,0.0018635294117647057,304,True
all_features,GGB3052,,,,0.0019916875,0.028925972850678734,305,True
all_features,GGB3057,,,,0.0037534375000000003,0.00186868778280543,306,True
all_features,GGB3058,,,,0.0013686875,0.00183131221719457,307,True
all_features,GGB3061,,,,0.0024960625,0.0030408144796380088,308,True
all_features,GGB30719,,,,0.0,0.001306289592760181,309,True
all_features,GGB3095,,,,0.0,0.0026477828054298643,310,True
all_features,GGB3100,,,,0.0008428125,0.0005542533936651584,311,True
all_features,GGB3102,,,,0.0,0.001381945701357466,312,True
all_features,GGB3103,,,,0.0045781875,0.0,313,True
all_features,GGB3105,,,,0.0,0.00010330316742081447,314,True
all_features,GGB3109,,,,0.05017262499999999,0.05366361990950226,315,True
all_features,GGB3110,,,,0.0050291875,0.0,316,True
all_features,GGB3111,,,,0.019640125,0.0005628506787330316,317,True
all_features,GGB3118,,,,0.0045019375,0.0034198642533936653,318,True
all_features,GGB3123,,,,0.0007026249999999999,0.0011347511312217195,319,True
all_features,GGB31234,,,,0.00660825,0.0030109049773755655,320,True
all_features,GGB3124,,,,0.0004773125,0.0013492760180995474,321,True
all_features,GGB3126,,,,0.001843125,0.001812262443438914,322,True
all_features,GGB3128,,,,0.0011682499999999998,0.00020018099547511312,323,True
all_features,GGB3129,,,,0.0,1.1357466063348416e-05,324,True
